Language Name,ISO,STATE,LgFly,Translation Status/Need,Strategic Zone,Orgs Involved,TR Org,Population,Pop. Source,"Pop in
2011",Location,#Of translations,OT Tr in progress,Decision Criteria,Translation Status,Status date,NT in Progress,Project location (State & District),"NT Start
Date","OT Start
Date","NT Pub
Date",NT Revised,"First BB 
Pub. Date",Bible revised,NT Script,Cluster,Translators/Facilitators name,Other information,No,"Literacy Rate
in L1","Literacy Rate
in L2","Source on
Literacy (L2)","Second
Language (L2)",GFA,TWR,FEBA,NT,Portions,Jesus Film,Jesus Film Audio,Jesus Film Children,Dayasagar,God Story,Radio Broadcast,,,,,,,,,,
Braj Bhasha,bra,Uttar Pradesh,Indo-Aryan,Whole Bible Available,Hindi Zone,"GR, IBS, BSI, TWR, FEBA",BIBLICA,574245,Census 2001,,"Uttar Pradesh [Agra region;] Rajasthan [Bharatpur, Sawai Madhopur districts]; Haryana [Gurgaon District]; Bihar; Madhya Pradesh; Delhi",,,,The available Bible is not been used by the community. Revision is going on.,,X,,,,2003,,2007,,,Uttar Pradesh cluster,,,66,,,,,,x,,,,Yes,Yes,,,,Yes,,,,,,,,,,
Brokskat,bkk,Jammu and Kashmir,Indo-Aryan,Limited Need,North West Zone,,,4000,Background research,,"Jammu and Kashmir [along the Indus River in Ladakh and Kargil districts, northern Kashmir, villages around Garkhon, including Darchiks, Chulichan, Gurgurdo, Batalik, and Dah, and formerly in Hanu]",,,"Later this might emerge as full TR Need, high vitality, lives within 15 km radius",,,,,,,,,,,,Pahari cluster,,BMI completed recording of a set of story,67,1%,56%,Census 2001,,,,,,,,,,,,,,,,,,,,,,
Bugun,bgg,Arunachal Pradesh,Tibeto-Burman,Translation in Progress,NEI Zone,,TWFTW,467,Census 2001,,"Arunachal Pradesh [West Kameng district - Singchung and Nafra circles - in Wangho, Singchung, New Kaspi, Namphri, Mangopom, Diching, Sachita, Ramu, Situ, Lichini, Dikiang, and Bichom villages on the mountains on both sides of the Rupa river, interspersed ",1,,Began in Feb 2009,,,X,,2010,,,,,,,Arunachal,,,68,,24%,Census 1981,,,,,,,,,,,,,,,,,,,,,,
Buksa,tkb,Uttarakhand,Indo-Aryan,Translation in Progress,North West Zone,,NLCI,51138,Census 2001,,"Uttarakhand [southwestern Nainital District - along a diagonal from Ramnagar to Keneshpur. 130 villages in Kichha and Kashipur tahsils, and small numbers in Bijnor and Garhwal districts]",1,,,"Mathew and Mark- Consultant checking is over ready to be publish John, Luke and Titus drafting is over",,X,,2010,,,,,,,Pahari cluster,,,69,,,,,,,,,,,,,,,,,,,,,,,,,
Bundeli,bns,Uttar Pradesh,Indo-Aryan,NT available,Hindi Zone,"GR, CCC, IBS, TWR, WCOI, GFA Radio, IBT",PBT/CICM,3072147,Census 2001,,"Uttar Pradesh [Jalaun, Jhansi, Lalitpur, Hamirpur, Banda districts]; Madhya Pradesh [Balaghat, Chhindwara, Hoshangabad, Sagar, Sehore, Panna, Satna, Chhatarpur, Tikamgarh, Shivpuri, Guna, Bhind, Morena, Gwalior, Narsinghpur, Seoni, Datia districts]; Mahar",,,,,,,,2005,,2010,,,,,Uttar Pradesh cluster,,,70,,,,,x,x,,,x,Yes,Yes,,,,Yes,,,,,,,,,,
Burushaski,bsk,Jammu and Kashmir,Isolate,No Need in India,North West Zone,,,300,Research report,,Jammu and Kashmir [Yasin and Hunza valleys],,,Lg of Pak,,,,,,,,,,,,Pahari cluster,,,71,,20%,,,,,,,,,,,,,,,,,,,,,,,
Byangsi,bee,Uttarakhand,Tibeto-Burman,Limited Need,North West Zone,,,1800,Ethnologue 09,,"Uttarakhand [Pithoragarh district - Darchula and Munsyari tahsils - in the Kuthi Yangti River valley high in the Himalayas on the border with Tibet and Nepal. In Byangs Patti from Budi in the south to Kuti village in the north including Nabi, Gunji, Napal",,,"Low pop, no monolinguals, Hindi has high prestige. No Christians",,,,,,,,,,,,Rang cluster,,,72,,26%,,Nepali,,,,,,,,,,,,,,,,,,,,,
Camling,rab,Sikkim,Tibeto-Burman,No Need in India,NEI Zone,,,,,,Sikkim [Regu and other parts of the state], West Bengal [Darjeeling],,,Lg of Nepal,,,,,,,,,,,,Sikkim cluster,,,73,,,,,,,,,,,,,,,,,,,,,,,,
Chakma,ccp,Mizoram,Indo-Aryan,NT available,NEI Zone,"GR, SGM, BI, GFA Radio, Baptist Church of Mizoram, Presbyterians.","BI/BBS
IEM - OT",176458,Census 2001,,"Mizoram [southwestern part along Karnafuli River]; Tripura [N. Tripura Dt - Kailashahar subdivision, S. Tripura district]; Assam [Karbi Anglong, North Cachar, Cachar districts]; Arunachal Pradesh [Tirap district, Changlang district - Miao subdivision, Loh",,,Roman version to be released soon,OT translation will be starting in 2016.,,,,,,2012,,,,,,,,74,70%,70%,,,x,,,,,Yes,Yes,,,,Yes,,,,,,,,,,
Chamari,cdg,Madhya Pradesh,Indo-Aryan,Research Need,Central Zone,,,406000,Ethnologue 2013,,Madhya Pradesh, Uttar Pradesh [Lucknow], Maharashtra,,,Spoken in Chhattisgarh,,,,,,,,,,,,Bagheli cluster,,BMI started the NT,75,1%,,,,,,,,,,,,,,,,,,,,,,
Chambyali,cdh,Himachal Pradesh,Indo-Aryan,Translation in Progress,North West Zone,"CNI, GR",SAG/ OA,126589,Census 2001,,Himachal Pradesh [Chamba District - Chamba Tahsil], Jammu and Kashmir,1,,Kangri as reference project,NT stage 4 done,,X,,2009,,March 2016 Expected,,,,,Pahari cluster,,,76,,,,,,,,,x,Yes,Yes,,,,,,,,,,,,,
Changthang,cna,Jammu and Kashmir,Tibeto-Burman,Limited Need,North West Zone,,,5038,Census 2001,,"Jammu and Kashmir [Tibetan border area, ChangThang region East Zone and southEast Zone of Leh]",,,"1000 pop, some multilingual, adapting from Ladakhi",,,,,,,,,,,,HI – Ladakhi,,BMI completed recording of a set of story,77,,37%,Census 2001,,,,,,,,,,,,,,,,,,,,,,
Chaudangsi,cdn,Uttarakhand,Tibeto-Burman,Limited Need,North West Zone,,,1830,Ethnologue 2013,,"Uttarakhand [Pithoragarh district - Darchula and Munsyari tahsils - Chaudangs Patti - in 14 villages along the west bank of the Kali River facing the Nepal border along the Mahakali Valley. Villages include Panggu, Rongto, Rimzhim, Waiku, Monggong, Chilla",,,"Low pop, no monolinguals, Hindi has high prestige",,,,,,,,,,,,Rang cluster,,,78,1%,,,,,,,,,,,,,,,,,,,,,,,,
Chaura,crv,Andaman and Nicobar Islands,Austro-Asiatic,Research Need,South Zone,,,2020,Ethnologue 2013,,Nicobar Islands [Chaura Island],,,,,,,,,,,,,,,Nicobar,,,79,,,,,,,,,,,,,,,,,,,,,,,,,
Chenchu,cde,Andhra Pradesh,Dravidian,Translation in Progress,South Zone,"IEM, Few other independent org",BMI/TWFTW,49729,Census 2001,,Andhra Pradesh [Kurnool District - Nallamalla Hills], Karnataka, Orissa,1,,"Reports they speak Telugu, but live in primitive areas",,,,,,,,,,,,AP Telugu,,,80,,43%,Census 2001,,,,,,,,,,,,,,,,,,,,
"Chetti, Wayanad",ctt,Kerala,Dravidian,Limited Need,South Zone,"Few church planting agencies (Independent, Pentecostal etc)",,5000,Ethnologue 2013,,"Kerala [Wayanad district - Chekadi, Appapara, Panavalli, Pulpalli, Thirunelli, Tholpetti and Kattikkulam villages]; Tamil Nadu [Coimbatore, Nilgiri and Periyar districts], Karnataka [Bavali]",,,"Strong vitality, 5000, positive toward MT, LWC is Malayalam",,,,,,,,,,,,Wayanad cluster,,,81,,,,,,,,,,,,,,,,,,,,,,,,,
Chhattisgarhi,hne,Chandigarh,Indo-Aryan,NT available,Central Zone,"GR, CCC, FEBA, IBT, SGM, TWR, GFA Radio",IBT/INDP,13327883,Census 2001,,"Chhattisgarh; Bihar; Orissa; and possibly in Maharashtra, Uttar Pradesh, and Tripura. Surgujia is in the Surguja and Raigarh districts of Chhattisgarh; Sadri Korwa spoken by Korwa people of Jashpur tahsil of Raigarh district; Baigani in Balaghat, Raipur, ",,X,,,,,,1994,,2005,,,,,Chhattisgarhi,,,82,,,,,x,x,x,,,Yes,Yes,Yes,,Yes,Yes,,,,,,,,,,
"Chin, Bawm",bgr,Mizoram,Tibeto-Burman,Whole Bible Available,NEI Zone,"UBS, BECC, SGM, GFA Radio",,4440,Ethnologue 2013,,"Mizoram [Chhimtuipui, Lunglei, and Aizawl districts]; Tripura; Assam",,,,,,,,,,1977,,1989,,,Kuki-Chin Linguistic Cluster,,,83,,,,,,,,,,,,,,,,,,,,,,,,,
"Chin, Falam",cfm,Assam,Tibeto-Burman,Whole Bible Available,NEI Zone,"GR, SGM, MM, UBS, BSI, WCOI, GFA Radio",,38300,Census 2001,,"Assam [Karimganj district - south, a few villages in Cachar and North Hills districts]; Tripura; Mizoram; West Bengal",,,,,,,,,,1951,,1991,,,Assam,,,84,,,,,x,,,x,,Yes,Yes,,,,,,,,,,,,,,
"Chin, Haka",cnh,Mizoram,Tibeto-Burman,Whole Bible Available,NEI Zone,"GR, BAP, WCOI, SGM",,25000,Census 2001,,"Mizoram [Chhimtuipui district - 41 villages and Aizawl District - Champhai subdivision, (southernmost tip)]; Assam; Meghalaya",,,,,,,,,,1940,,1978,,,,,,85,,,,,,,,x,,,Yes,,,,,,,,,,,,,,
"Chin, Khumi",cnk,Mizoram,Tibeto-Burman,NT available,NEI Zone,MM,BSI,22000,,,Assam,,,,,,,,,,2009,,,,,,,,86,,60%,,,,,,,,,,,,,,,,,,,,,,,
"Chin, Mara",mrh,Mizoram,Tibeto-Burman,Whole Bible Available,NEI Zone,"GR, MIEC, SGM, BSI",,34751,Census 2001,,Mizoram [Chhimtuipui district - 60 villages],,,,,,,,,,1928,,1956,,,Kuki-Chin Linguistic Cluster,,,87,,,,,,,,,,,,,,,,,,,,,,,,,
"Chin, Matu",hlt,Mizoram,Tibeto-Burman,NT available,NEI Zone,MBS,MBS,78750,,,Mizoram,,,,,,,,,,1999,,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,
"Chin, Paite",pck,Manipur,Tibeto-Burman,Whole Bible Available,NEI Zone,"BAP, GR, INT, NEI ZoneGM, SGM, BSI, BI, BCOI",,64065,Census 2001,,"Manipur [Churachandpur district - Khuga Valley, Copur Bazar]; Mizoram [Aizawl District - Champhai subdivision - 20 villages]; Tripura; Assam;",,,,,,,,,,1951,,1971,,,Kuki-Chin Linguistic Cluster,,,89,75%,79%,Census 2001,,,,,x,,,Yes,,,,,,,,,,,,,,
"Chin, Tedim",ctd,Mizoram,Tibeto-Burman,Whole Bible Available,NEI Zone,"BAP, GR, BI, WCOI, SGM",,205000,,,"Mizoram [north]; Manipur [south]; Myanmar [Chin Hills State, Upper Chindwin, Tiddim area]",,,,,,,,,,1932,,1977,,,,,,90,,,,,,,,x,,,Yes,,,,,,,,,,,,,,
"Chin, Thado",tcz,Manipur,Tibeto-Burman,Whole Bible Available,NEI Zone,"GR, ABFMS, BSI, KCC, SGM, BI, WCOI, GFA Radio, India Bible Literature",,186471,Census 2001,,"Manipur [Chandel, Churachandpur, Senapati, Tamenglong Districts]; Assam; Mizoram [northEast Zone];  Nagaland [Kohima district]; Tripura",,,,,,,,,,1942,,1971,,,Kuki-Chin Linguistic Cluster,,,91,,57%,Census 2001,,x,,,,,,,,,Yes,,,,,,,,,,,
Chinali,cih,Himachal Pradesh,Indo-Aryan,Limited Need,North West Zone,,,750,Ethnologue 09,,"Himachal Pradesh [throughout Lahul Valley, especially in Pattan Valley, Gushal village]",,,Very low pop,,,,,,,,,,,,Lahul,,BMI completed recording of a set of story,92,,,,,,,,,,,,,,,,,,,,,,,,,
Chiru,cdf,Manipur,Tibeto-Burman,NT available,NEI Zone,"GR, MM, SGM, BI",BI,7000,,,"Manipur [Tamenglong dt - Lamdangmei, Dolang villages; Senapati - Kangchup, Thangzing, Sadu, Bungte, Nungshai, Dolang Khunou, Uram villages, Churachandpur district - Charoi Khullen village; Thoubal district - Vaithou; Bishnupur district ]; Assam [Cachar di",,,,,,,,1998,,2010,,,,,"Naga, Manipur",,,93,,56%,,English & Meitei,,,,,x,,,,,,,,,,,,,,,,
Chodri,cdi,Gujarat,Indo-Aryan,NT available,West Zone,"GR, FMPB, SGM, TWR, BSI",FMPB,209363,Census 2001,,"In Gujarat, they are in [Nyawa, Sunugarh and Vyara taluks] Tapi and [Mandvi taluk] Surat Districts. Population is now more in Tapi district, after it bifurcated from Surat district. Some in Maharashtra, Karnataka, Rajasthan",,X,,,,,,1981,2012,2006,,,,,Gujarat,,,94,,63%,Census 2001,Gujarati,x,x,,,,Yes,Yes,,,,Yes,,,,,,,,,,
Chug,cvg,Arunachal Pradesh,Tibeto-Burman,Limited Need,NEI Zone,,,900,Ethnologue 09,,Arunachal Pradesh [West Kameng district - Chug village],,,"Adaptation from Lish, pop 900",,,,,,,,,,,,"Arunachal, HI – EHG",,,95,,62%,Census 2001,,,,,,,,,,,,,,,,,,,,,,
Churahi,cdj,Himachal Pradesh,Indo-Aryan,Translation in Progress,North West Zone,,OA,61199,Census 2001,,"Himachal Pradesh [Chamba district - Chaurah and Saluni tahsils, Bhalai Sub-tahsil]",,,Kangri could be reference project,NT IN PROGRESS,,X,,2014,,,,,,,Pahari cluster,,,96,,,,,,,,,,,,,,,,,,,,,,,,,
Darlong,dln,Tripura,Tibeto-Burman,NT available,NEI Zone,BI,BI,6000,Ethnologue 09,,Tripura [N. Tripura district - Kailashahar and Kamalpur subdivisions], Assam [Cachar district],,X,working on OT,,,,,1987,,1995,,,,,Tripura Ethnic Cluster,,,97,1%,45%,,,,,,x,,,,,,,,,,,,,,,,
Darmiya,drd,Uttarakhand,Tibeto-Burman,Limited Need,North West Zone,,,1750,Ethnologue 09,,"Uttarakhand [Pithoragarh district - Darchula and Munsyari tahsils - Dhauli valley - from Tawaghat near Dharchula in the south to Sipoo in the north along the river Dhauli. Dar, Bongling, Selachal, Nanglin, Baling, Dugtu, Saung, Baun, Philam, Datu, Gwo, Ma",,,"Low pop, no monolinguals, Hindi has high prestige",,,,,,,,,,,,Rang cluster,,,98,1%,,,,,,,,,,,,,,,,,,,,,,,,
Deccan,dcc,Maharashtra,Indo-Aryan,No need,Central Zone,,,12830600,,,"Central Zone Maharashtra [Deccan Plateau]; Karnataka [Belgaum, Bijapur districts]; Madhya Pradesh [Raisen, Sehore districts]; Gujarat",,,"Close to Hindi[hin], probably mixture of Hindi[hin] and Urdu[urd]",,,,,,,,,,,,Konkani cluster,,,99,,,,,,x,,,,Yes,Yes,,,,Yes,,,,,,,,,,
Degaru,dgu,Jharkhand,Indo-Aryan,Research Need,East Zone,,"No speakers found in JH, check UP.",10089,Ethnologue 09,,Bihar, West Bengal,,,,,,,,,,,,,,,Bhojpuri,,BMI completed recording of a set of story,100,,,,,,,,,,,,,,,,,,,,,,,,
Deori,der,Assam,Tibeto-Burman,Translation in Progress,NEI Zone,"GR, TWR, WCOI, GFA Radio",IEM,46854,Census 2001,,"Assam [Lakhimpur, Demaji, Tinsukia, Jorhat districts]",1,,,,,,,2005,,,,,,,Assam,,,101,,76%,Census 2001,,x,,,,,Yes,Yes,,,,Yes,,,,,,,,,,
Desiya,dso,Odissa,Indo-Aryan,NT available,East Zone,"IBT, Independent. IBT Released the NT on 2010 May",IMS/IBT,50000,Ethnologue 09,,Orissa [Koraput district - Lamtaput block, Nabarangapur District],,X,,,,,,,,2010,,,,,Odisha cluster,,,102,,6%,,,x,,,,x,,,,,,Yes,,,,,,,,,
Dhanki,dhn,Gujarat,Indo-Aryan,Translation in Progress,West Zone,,TWFTW/OA,298378,Census 2001,,"In Gujarat, they are found in Dabhoi, Sankheda, Nasvadi, Thilakvada, Jambu-Ghoda, and Chatta-Udeur taluks of Vadodara district, Uchhal taluk of Surat District and Bharuch district. They are also found in the Rajpipala area of Narmada District and Nizar. In Rajasthan, they are found in Alwar, Jaipur, Ajmer and Sirohi Districts. In Maharashtra the Dhanka are concentrated in the hilly tracts and foothills of the Satpura range in the Akkalkuwa and Taloda tahsils of Dhule District and Dhargaon and Akrani tahsils of Jalgaon district. ",1,,It is very similar to Gujarati. People are widely using Gujarati all all the domains. May be interested for orality and lg documentation,,,,,2015,,,,,,,Bhil,,,103,,53%,,Gujarati,,,,,,Yes,Yes,,,,,,,,,,,,,,
Dhanwar,dha,Chandigarh,Indo-Aryan,No need,Central Zone,,,63958,Census 2001,,"Chhattisgarh [Bilaspur, Raigarh, Surguja districts]; Maharashtra [Akola, Amravati, Yavatmal, Nagpur, Wardha, Chandrapur, Buldana, Satara districts]",,,Questions the existence of this language. Probably speak a correpted form of Chhattisgarhi[hne],,,,,,,,,,,,Marathi,,,104,,,,,,,,,,,,,,,,,,,,,,,,,
Dhatki,mki,Rajasthan,Indo-Aryan,No Need in India,West Zone,,,16400,Ethnologue 09,,Rajasthan [western],,,Lg of Pak,,,,,,,,,,,,,,,105,5%,5%,,,,,,,x,Yes,Yes,,,,,,,,,,,,,,
Dhimal,dhi,(southern) West Bengal,Tibeto-Burman,No need in India,East Zone,,OA in Nepal,981,Census 2001,,"West Bengal [Naxalbari, Chengadhari, Hatighisha - 16 villages]",,,"Lg of Nepal 30,000, only 450 in India",,,X,,,,,,,,,,,,106,,39%,Census 1991,,,,,,,,,,,,,,,,,,,,,,
Dhodia,dho,Gujarat,Indo-Aryan,Translation in Progress,West Zone,"GR, TWR",ORBIT/OA,598744,Census 2001,,"Gujarat [Surat and Valsad districts], Daman & Diu, Dadra & Nagar Haveli Union Territories; Madhya Pradesh; Maharashtra; Karnataka; Rajasthan",1,,"High pop. Dialect variation consistent through the lg areas. Lg use in home, village is high. Rise of bilingualism in Gujarati among the youths. Some lg dev activity in Dhodia. People have interest in audio.  Survey 2008.",,,X,,2015,,,,,,,Bhil,,,107,,76%,Census 2001,Gujarati,,x,,,,,,,,,Yes,,,,,,,,,,
Dhundari,dhd,Rajasthan,Indo-Aryan,Translation in Progress,West Zone,Few church planting agencies,NLCI,1871130,Census 2001,,"Rajasthan [Jaipur, Dausa, Tonk districts]; possibly in Bundi, Kota, Kishangarh, Ajmer, Jhalawar, northern Karauli, Sawai Madhopur districts also",1,,,25 NT books and Genesis and book of Ruth drafted.  7 books consultant checking is over. None published.,,X,,2009,,,,,,,Rajasthani cluster,,,108,,,,,,,,,x,,,,,,,,,,,,,,,,
Digaru Mishimi,mhu,Arunachal Pradesh,Tibeto-Burman,Translation in Progress,NEI Zone,"Catholic churches, Revival churches",WIN,8622,Ethnologue 09,,"Arunachal Pradesh [Lohit District - Hayuliang, Changlagam, Goliang circles, Dibang Valley district]; Assam",1,,,,,X,,2003,,,,,,,Mishmi,,,109,,40%,Census 2001,,,,,,,,,,,,,,,,,,,,,,
Dimasa,dis,Assam,Tibeto-Burman,NT available,NEI Zone,"GR, PR, BSI, SGM",BSI,110976,Census 2001,,"Assam [North Cachar district and Cachar Hills, Karbi Anglong, Nagaon districts]; Nagaland [Haflong District]; Meghalaya; Mizoram",,,,,,,,,,2005,,,,,Assam,,,110,,60%,Census 2001,Assamese,x,,,,,Yes,Yes,,,,Yes,,,,,,,,,,
Dogri,dgo,Jammu and Kashmir,Indo-Aryan,Translation in Progress,North West Zone,"GR, CCC, CNI, SGM, BSI, TWR, GFA Radio, Kashmir Evangelical Fellowship",SAG/OA,2282547,Census 2001,,"Jammu and Kashmir [Udhampur, Reasi, Kathua, Poonch districts]",1,,,,,X,,2004,,,,,,,Pahari cluster,,,111,,18 - 19%,,,x,x,,,x,Yes,Yes,,,Yes,Yes,,,,,,,,,,
Domari,rmt,Bihar,Indo-Aryan,Research Need,Hindi Zone,,,202000,Ethnologue 09,,Bihar [Saran and Champaran districts], Assam, West Bengal, Uttar Pradesh, Punjab, Madhya Pradesh, Jammu & Kashmir, Orissa,,,,,,,,,,,,,,,Bhojpuri,,,112,,,,,,,,,,,,,,,,,,
Dubli,dub,Gujarat,Indo-Aryan,Translation in Progress,West Zone,"PR, RC, BR",WIN/OA,613882,Census 2001,,"Gujarat [Surat, Valsad, Bharuch (Broach), Vadodara districts]; Maharashtra [Thane District - Talasari and Dahanu areas]; Dadra & Nagar Haveli; Daman & Diu; Karnataka: Rajasthan",1,,"High pop, specific need to be identified",,,,,2015,,,,,,,Gujarat,,,113,,48%,,Gujarati,,,,,,,,,,,,,,,,,,,,,
Dungra Bhil,duh,Gujarat,Indo-Aryan,NT available,West Zone,FMPB,FMPB,100000,Ethnologue 09,,Gujarat [Vadodara District - Chotaudeyapur and Naswadi tahsils], Madhya Pradesh [Jhabua district - Alirajpur tahsil], Maharashtra [Dedgam tahsil], on the slopes of the Vindhya Satpura mountains drained by the Narmada River, 200 villages,,,,,,,,1996,,2009,,,,,Bhil,,,114,,3 - 5%,1996 Survey,,,,,,,,,,,,,,,,,,
Duruwa,pci,Chandigarh,Dravidian,Translation in Progress,Central Zone,"IEM, SIL",IEM,45310,Census 2001,,Chhattisgarh [Bastar District - southEast Zone Jagdalpur Tahsil], Orissa [Koraput District],1,,,,,X,,1999,,,,,,,Chhattisgarhi,,,115,1%,15 - 25%,,,,,,,,Yes,Yes,,,,,,,,,,,,,
Dzongkha,dzo,Sikkim,Tibeto-Burman,NT available,NEI Zone,,BSN,11000,Ethnologue 09,,"West Bengal [Kalimpong, Darjeeling, just inside the Indo-Bhutan border]; Sikkim; Assam; Arunachal Pradesh; Nagaland; Manipur; Meghalaya",,,BSN publised NT in 2002,,,,,,,2002,,,,,,,,116,54%,5%,,,x,x,,,,Yes,,,,,Yes,,,,,,,,,,
English,eng,,,No Need in India,Not Applicable,,,179000,Ethnologue 09,,,,,immigrant language,,,,,,,,,,,,,,,117,,,,,,,,,,Yes,Yes,Yes,,,Yes,,,,,,,,,,
Eravallan,era,Kerala,Dravidian,No need,South Zone,,,5444,Census 2001,,Kerala [Palakkad district-Chittoor taluk], Tamil Nadu [Coimbatore district],,,"Shifting to tamil, most use Tamil",,,,,,,,,,,,Palakkad cluster,,,118,,42%,,Tamil,,,,,,,,,,,,,,,,,,,,
"Farsi, Western",pes,Himachal Pradesh,Indo-Aryan,No Need in India,North West Zone,,,18000,Ethnologue 09,,"Himachal Pradesh; Karnataka; Madhya Pradesh; Maharashtra; Uttar Pradesh; communities in Bombay, Hyderabad, Bhopal, Aligarh, Chota Nagpur",,,Lg of Pak,,,,,,,,,,,,,,,119,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,
French,fra,Pondicherry,,No Need in India,Not Applicable,,,12000,Ethnologue 09,,Puducherry (formerly Pondicherry),,,immigrant language,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,
"Gadaba, Bodo",gbj,Odissa,Austro-Asiatic,NT available,East Zone,"IEM, IET, CALVARY COMMISSION, Brotheren Mission & JLC(Jepore Lutheren Chirch)",AKS,8000,Ethnologue 09,,Orissa [Koraput District - 40 villages in Lamtaput, Malkangiri district - Khoirput block],,,,,,,,2001,,2011,,,,,Gadaba cluster,,,121,,9%,2000 Survey,,,,,,,,,,,,,,,,,,,,,
"Gadaba, Mudhili",gau,Andhra Pradesh,Dravidian,Translation in Progress,South Zone,GR,WIN,36078,Census 2001,,"Andhra Pradesh [Vizianagaram district - Salur and Pachipenta Mandals, Vishakhapatnam and Srikakulam districts]",1,,,20 NT books have consultant checked and ready to publish. 7 books drafting done. 4 Gospel published,,X,,2003,,,,,,,Gadaba,,,122,,34 - 42%,Census 2001,,,,,,,,,,,,,,,,,,,,,,
"Gadaba, Ollar, Pottangi",gdb,Odissa,Dravidian,Translation in Progress,East Zone,"GR, BR, EBT",INDP/OA,25000,Ethnologue 09,,Orissa [Koraput District - Pottangi and Nandapur blocks],2,,"NT has been completed in 2012, but not published. Now its  revision and OT translation in progress.",,,X,,1998/2015,,,,,,,Gadaba cluster,,,123,,7%,,,,,,,x,,,,,,,,,,,,,,,,
Gaddi,gbk,Himachal Pradesh,Indo-Aryan,Translation in Progress,North West Zone,"GR, SGM",SAG/OA,66246,Census 2001,,"Himachal Pradesh [Chamba District - Brahmaur Tahsil and Holi Sub-Tahsils - in the Dhauladhar mountains]; Uttar Pradesh; Jammu and Kashmir; Madhya Pradesh; Punjab; Delhi. Higher elevations in summer, lower in winter",1,,Kangri as reference project,,,X,,2009/2013,,,,,,,Pahari cluster,,,124,,37%,Census 2001,,,,,,,,Yes,,,,,,,,,,,,,,
Gahri,bfu,Himachal Pradesh,Tibeto-Burman,Full TR Need,North West Zone,"MOR, GR, IEM",,7050,Asia Harvest,,"Himachal Pradesh [Gahr Valley along the Bhaga River- from its confluence with the Chandra and upstream about 25 km - Biling, Kardang, Kyelang, Guskyar, Yurnad, Gumrang, Barbog, Paspara, Pyukar, Styering villages]",,,"Lg used in all domains, Low pop",,,,,,,,,,,,Pahari cluster,,,125,1%,,,,,,,,x,,,,,,,,,,,,,,,,
Gamit,gbl,Gujarat,Indo-Aryan,Translation in Progress,West Zone,"GR, RC, CNI, SDA, TWR, GFA Radio",ORBIT/OA,441138,Census 2001,,"Gujarat [mainly Surat District, some in Bharuch (Broach), Dangs, and Valsad districts]",1,,,,,X,,2003/2015,,,,,,,Gujarat,,,126,,53%,Census 2001,,x,x,,,x,Yes,Yes,,,Yes,Yes,,,,,,,,,,
Gangte,gnb,Manipur,Tibeto-Burman,Whole Bible Available,NEI Zone,"GR, NEI ZoneGM, BSI, SGM, WOCI",,14394,Census 2001,,Manipur [concentrated in southern Churachandpur district - 37 villages], Meghalaya, Assam,,,,,,,,,,1959,,1991,,,"Naga, Manipur",,,127,,,,,,,,x,,,,,,,,,,,,,,,
"Garasia, Adiwasi",gas,Gujarat,Indo-Aryan,Translation in Progress,West Zone,"GR, IEM, BSI",OA,100000,Ethnologue 09,,"Northern Gujarat [Banaskantha district - Danta tahsil, Sabarkantha district - Poshina tahsil]",,,Can Garasia Rajput NT be used?,,,X,,2015,,,,,,,Gujarat,,,128,,15 - 25%,,,,,,,x,,,,,,,,,,,,,,,,
"Garasia, Rajput",gra,Rajasthan,Indo-Aryan,NT available,West Zone,IEM,IEM,100000,Ethnologue 09,,"Rajasthan [Sirohi, Pali, and Udaipur districts]; Gujarat [Banaskantha district]",,,,,,,,1981,,2009,,,,,Gujarat cluster,,,129,,15 - 25%,,,,,,,,,,,,,,,,,,,,,,,
Garhwali,gbm,Uttarakhand,Indo-Aryan,NT available,North West Zone,"IEM, GR, CCC, SGM, TWR, GFA Radio, BSI",BSI/OA,2267314,Census 2001,,"Uttarakhand [Tehri Garhwal, Pauri Garhwal, Uttarkashi, Chamoli, Dehra Dun, Rudraprayag districts]; Himachal Pradesh",,,,,,,,2013,,1994,,,,,Pahari cluster,,,130,,72%,Census 2001,,x,x,,,,Yes,Yes,Yes,,,Yes,,,,,,,,,,
Garo,grt,Meghalaya,Tibeto-Burman,Whole Bible Available,NEI Zone,"BAP, GR, RC, BSI, CCC, SGM, WCOI, GFA Radio",,885522,Census 2001,,"Meghalaya [Garo Hills District]; West Assam [Goalpara, Kamrup, Karbi Anglong districts]; Nagaland [Kohima District]; Tripura [South Tripura District - Udaipur subdivision, N. Tripura Dt - Kamalpur, Kailasahar subdivisions, W. Tripura Dt - Sadar subdivisio",,,,,,,,,,1894,,1924,,,Megalaya cluster,,,131,,55%,Census 2001,,x,,,x,,Yes,Yes,,,,Yes,,,,,,,,,,
Didei (Gata),gaq,Odissa,Austro-Asiatic,Translation in Progress,East Zone,One missionary is working among them,TWFTW & NIEA jointly,7371,Census 2001,,"Orissa [Koraput and Malkangiri districts - Kudumulgumma and Chitrakonda blocks, south of the Bondo Hills. Some communities in the Khairput block. 47 villages]; Andhra Pradesh [East Zone Godavari district]",1,,an evangelist translated few songs,,,,,2015,,,,,,,Bondo cluster,,,132,,10%,Census 2001,,,,,,,,,,,,,,,,,,,,,,
